claim_id	paper_id	scientific_claim	source_reported_content	evidence_type	method	data_type	study_system	figure_or_table_anchor	causality_level	confidence_level	limitation	source_file	source_location	notes
C001	2015-Borges-Small-RNAs-in-Plants	植物基因组编码多类小 RNA，参与遗传和表观遗传沉默通路。	Abstract 明确说 plant genomes encode various small RNAs functioning in distinct but overlapping genetic and epigenetic silencing pathways。	review-level evidence	literature synthesis	review text	plants	Abstract	not causal	high	综述观点，不是本文原始实验	full.md	Abstract	Source-reported content
C002	2015-Borges-Small-RNAs-in-Plants	DCL/RDR/AGO 的扩展和分化与植物小 RNA 通路多样化有关。	Introduction 指出 DCL/RDR gene duplication contributed to diversification of small RNAs, AGO diversification contributed to distinct gene-silencing processes。	review-level evidence	evolutionary pathway synthesis	review text	plants	Introduction; Box 1	not causal	medium-high	具体系统发育证据需回读原始文献	full.md	Introduction	Source-reported content
C003	2015-Borges-Small-RNAs-in-Plants	植物小 RNA 主要有 miRNA、hp-siRNA、nat-siRNA、secondary siRNA 和 heterochromatic siRNA 等类别。	Introduction 明确列出 endogenous small RNAs in plants can be divided into these major classes。	review-level evidence	classification synthesis	review text	plants	Introduction	not causal	high	分类边界可能因新文献更新	full.md	Introduction	Source-reported content
C004	2015-Borges-Small-RNAs-in-Plants	植物小 RNA 3' 端 2'-O-methylation 对稳定性和防止 uridylation/degradation 很重要。	Introduction 和 Small-RNA modifications 段落说明 all small RNAs in plants are 3' 2'-O-methylated, essential for stability and protection from uridylation and degradation。	review-level evidence	mechanistic synthesis	review text	plants	Figure 2	mechanistic review claim	medium	符号解析噪声明显；needs manual PDF check	full.md	Introduction; Small-RNA modifications	Source-reported content
C005	2015-Borges-Small-RNAs-in-Plants	AGO 分选受 small RNA 5' 端核苷酸和 miRNA duplex 结构影响。	Box 1 描述 5' terminal nucleotide specificity and structural determinants of miRNA sorting。	review-level evidence	mechanistic synthesis	review text	Arabidopsis thaliana; plants	Box 1	mechanistic review claim	medium-high	具体 AGO 例子来自被引原始文献	full.md	Box 1 | Sorting small RNAs onto AGOs	Source-reported content
C006	2015-Borges-Small-RNAs-in-Plants	植物小 RNA 生物发生的三条主路径包括 miRNA、21/22 nt secondary siRNA 和 24 nt heterochromatic siRNA。	正文说 generally there are three main pathways responsible for vast majority of small RNAs in plants。	review-level evidence	pathway synthesis	review text	plants	Figure 1	not causal	high	Figure 1 anchor uncertain	full.md	The biogenesis of small RNAs in plants	Source-reported content
C007	2015-Borges-Small-RNAs-in-Plants	secondary siRNA 产生可由 two-hit 或 one-hit miRNA 触发，经 RDR6/SGS3 和 DCL4/DCL2 加工。	Secondary siRNA biogenesis and Figure 3 图注描述 two-hit/one-hit pathways routed to RDR6-mediated dsRNA synthesis with SGS3 and DCL4/DCL2 processing。	review-level evidence	pathway synthesis	review text	plants	Figure 3	mechanistic review claim	medium-high	图表需人工核对；具体证据来自被引文献	full.md	Secondary siRNA biogenesis and control; Figure 3	Source-reported content
C008	2015-Borges-Small-RNAs-in-Plants	RdDM 依赖 Pol IV/Pol V、RDR2、DCL3 和 AGO4/AGO6/AGO9 等组分参与转录沉默。	Nuclear functions of small RNAs 描述 Pol IV transcripts, RDR2, DCL3, AGO4/AGO6/AGO9 and Pol V nascent transcripts in RdDM。	review-level evidence	pathway synthesis	review text	plants	Figure 4	mechanistic review claim	medium	Figure 4 anchor uncertain；非本文原始实验	full.md	Nuclear functions of small RNAs; The switch to transcriptional silencing	Source-reported content
C009	2015-Borges-Small-RNAs-in-Plants	small RNAs 与 paramutation、hybridization/polyploidy、DNA damage repair 和 reproduction 有关，但贡献强度不一且部分仍不清楚。	相关章节分别总结 paramutation、heterosis/polyploidy/hybrid incompatibility、DNA damage repair、meiosis/gametogenesis，并多处保留 unclear/unknown。	review-level evidence	functional synthesis	review text	plants	Paramutation; Heterosis; DNA-damage repair; Figure 5	not causal	medium	不能写成统一因果机制；需查原始文献	full.md	Nuclear functions of small RNAs; Small RNAs in meiosis and gametogenesis	Source-reported content; review-level evidence
C010	2015-Borges-Small-RNAs-in-Plants	完整理解不同植物 gene-silencing machineries 的互作需要分离细胞类型和单细胞小 RNA profiling。	Conclusions 中作者说 complete understanding will remain difficult until small RNAs can be profiled in isolated cell types and single cells。	inference	literature synthesis + author perspective	review text	plants	Conclusions and future perspectives	not causal	high	开放问题/方法需求，不是实验发现	full.md	Conclusions and future perspectives	Source-reported author conclusion
