claim_id	paper_id	scientific_claim	source_reported_content	evidence_type	method	data_type	study_system	figure_or_table_anchor	causality_level	confidence_level	limitation	source_file	source_location	notes
C001	2013-Axtell-Small-RNAs-from-Plants	植物内源小 RNA 可按生物发生和功能特征进行分层分类。	Abstract 和 Summary Points 明确说 endogenous plant small RNAs can be classified into distinct hierarchical groups based on biogenesis and/or function。	review-level evidence	literature synthesis	review text	plants	Abstract; SUMMARY POINTS	not causal	high	综述观点，不是原始实验结果	full.md	Abstract; SUMMARY POINTS	用于分类框架
C002	2013-Axtell-Small-RNAs-from-Plants	hpRNA 与 siRNA 的一级区分基于前体来源差异。	正文提出 small RNAs derived from single-stranded hairpins are hpRNAs and those from dsRNA precursors are siRNAs。	review-level evidence	classification framework	review text	plants	Figure 1; A HIERARCHICAL CLASSIFICATION SYSTEM FOR PLANT SMALL RNAs	not causal	high	图像锚点需人工核对；figure/table anchor uncertain	full.md	A HIERARCHICAL CLASSIFICATION SYSTEM FOR PLANT SMALL RNAs	Source-reported content
C003	2013-Axtell-Small-RNAs-from-Plants	miRNA、heterochromatic siRNA 和 secondary siRNA 是相对稳健的小 RNA 类别。	作者指出这些类别有一致的 RDR/DCL/AGO 因子、生物发生机制、长度分布和已验证机制。	review-level evidence	literature synthesis	review text	plants	classification discussion after Figure 1	not causal	medium-high	依赖作者对既有文献的综合	full.md	A HIERARCHICAL CLASSIFICATION SYSTEM FOR PLANT SMALL RNAs	Source-reported content
C004	2013-Axtell-Small-RNAs-from-Plants	non-miRNA hpRNAs 和 NAT-siRNAs 可能不是高度凝聚的生物学类别。	作者指出二者的 RDR/DCL requirements、size distributions 和 conservation evidence 较不一致。	review-level evidence	literature synthesis	review text	plants	classification discussion; NAT-sIRNAs	not causal	medium	该判断可能随新证据变化	full.md	A HIERARCHICAL CLASSIFICATION SYSTEM FOR PLANT SMALL RNAs; NAT-sIRNAs	Source-reported content
C005	2013-Axtell-Small-RNAs-from-Plants	AGO-loaded plant small RNAs 可通过染色质修饰、RNA 稳定性降低和翻译效率降低等方式抑制靶标。	Introduction 描述 AGO-bound small RNA 可与 target RNAs 配对，并在 chromatin modifications、decreased RNA stability、lowered translational efficiency 层面发挥抑制作用。	review-level evidence	mechanism synthesis	review text	plants	INTRODUCTION	mechanistic review claim	medium	具体机制来自被引原始研究；此处不作为本文原始实验证据	full.md	INTRODUCTION	Source-reported content
C006	2013-Axtell-Small-RNAs-from-Plants	异染色质 siRNA 路径在陆生植物中可能是祖先性路径，但在部分谱系中组织特异部署或丢失。	Conservation of Heterochromatic siRNAs 中总结 bryophyte、Selaginella、conifer 等线索，并在 Summary Points 中概括。	review-level evidence	comparative literature synthesis	review text	land plants	Conservation of Heterochromatic siRNAs; SUMMARY POINTS	not causal	medium	系统发育和物种证据需回读原始文献	full.md	Conservation of Heterochromatic siRNAs	Source-reported content
C007	2013-Axtell-Small-RNAs-from-Plants	secondary siRNAs 可参与级联式协调下调大型相似 mRNA 家族。	Functions of Secondary siRNAs 和 Summary Points 提到 silencing cascades 可下调 large families of highly similar mRNAs, such as NBS-LRR disease-resistance mRNAs。	review-level evidence	literature synthesis	review text	plants	Figure 4; Functions of Secondary siRNAs; SUMMARY POINTS	regulatory association summarized from primary studies	medium	具体因果证据需核查被引原始论文	full.md	Functions of Secondary siRNAs	Source-reported content; review-level evidence
C008	2013-Axtell-Small-RNAs-from-Plants	phasing pattern 是识别 secondary siRNA 的有力计算特征，但 phasing 不是 secondary siRNA 分类的必要条件。	Phased and Trans-Acting siRNAs 段落指出 computational identification of phased patterns is powerful, but neither phasing nor trans targets are essential for secondary siRNA classification。	review-level evidence	methodological synthesis	review text	plants	Phased and Trans-Acting siRNAs	not causal	high	属于方法性分类判断	full.md	Phased and Trans-Acting siRNAs	Source-reported content
C009	2013-Axtell-Small-RNAs-from-Plants	cis-NAT gene configuration 本身通常不足以预测 cis-NAT-siRNA 形成。	NAT-siRNA 段落指出 cis-NAT pairs generally have lower or not higher small-RNA densities, and only subsets associate with appreciable small-RNA accumulation。	review-level evidence	literature synthesis	review text	Arabidopsis; rice	NAT-sIRNAs	not causal	medium	具体比例和证据需核对原始 genome-wide analyses	full.md	NAT-sIRNAs	Source-reported content
C010	2013-Axtell-Small-RNAs-from-Plants	未充分采样的组织或细胞类型中可能存在新的植物小 RNA 类别。	Concluding remarks 提到 pollen、ovules、developing seeds 和 stem-cell niches 等难采样组织可能隐藏新的 small-RNA classes。	inference	literature synthesis + author future perspective	review text	plants	CONCLUDING REMARKS	not causal	medium	开放性推断，不是已证实发现	full.md	CONCLUDING REMARKS	Reasonable inference; needs manual PDF check
