paper_id	title	year	journal	doi	mineru_dir	paper_card_path	claim_table_path	method_summary_path	status	error_message
2013-Axtell-Small-RNAs-from-Plants	Classification and Comparison of Small RNAs from Plants	2013	Annual Review of Plant Biology	10.1146/annurev-arplant-050312-120043	mineru-parsed/Axtell_2013_Annual Review of Plant Biology	01_Curated/Paper-Cards/2013-Axtell-Small-RNAs-from-Plants.review.md	01_Curated/Claim-Evidence/2013-Axtell-Small-RNAs-from-Plants.claims.tsv	01_Curated/Method-Summaries/method-summary.2013-Axtell-Small-RNAs-from-Plants.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. MinerU image/table subdirectories absent, figure/table anchor uncertain; needs manual PDF check.
2015-Borges-Small-RNAs-in-Plants	The expanding world of small RNAs in plants	2015	Nature Reviews Molecular Cell Biology	10.1038/nrm4085	mineru-parsed/Borges_2015_Nature Reviews Molecular Cell Biology	01_Curated/Paper-Cards/2015-Borges-Small-RNAs-in-Plants.review.md	01_Curated/Claim-Evidence/2015-Borges-Small-RNAs-in-Plants.claims.tsv	01_Curated/Method-Summaries/method-summary.2015-Borges-Small-RNAs-in-Plants.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. MinerU image/table subdirectories absent, figure/table anchor uncertain; needs manual PDF check.
2023-Hamid-Cotton-Heterosis	Dynamic roles of small RNAs and DNA methylation associated with heterosis in allotetraploid cotton (Gossypium hirsutum L.)	2023	BMC Plant Biology	10.1186/s12870-023-04495-2	mineru-parsed/Hamid_2023_BMC Plant Biology	01_Curated/Paper-Cards/2023-Hamid-Cotton-Heterosis.review.md	01_Curated/Claim-Evidence/2023-Hamid-Cotton-Heterosis.claims.tsv	01_Curated/Method-Summaries/method-summary.2023-Hamid-Cotton-Heterosis.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Methods S1 not fully available in MinerU full.md; MinerU image/table subdirectories absent, figure/table anchor uncertain; needs manual PDF check.
2023-Liang-Phased-siRNAs-Speciation	Taxon-specific, phased siRNAs underlie a speciation locus in monkeyflowers	2023	Science	10.1126/science.adf1323	mineru-parsed/Liang_2023_Science	01_Curated/Paper-Cards/2023-Liang-Phased-siRNAs-Speciation.review.md	01_Curated/Claim-Evidence/2023-Liang-Phased-siRNAs-Speciation.claims.tsv	01_Curated/Method-Summaries/method-summary.2023-Liang-Phased-siRNAs-Speciation.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Supplementary Materials and Methods not fully expanded in MinerU full.md; MinerU image/table subdirectories absent, figure/table anchor uncertain; needs manual PDF check.
2014-Matzke-RNA-directed-DNA-Methylation	RNA-directed DNA methylation: an epigenetic pathway of increasing complexity	2014	Nature Reviews Genetics	10.1038/nrg3683	mineru-parsed/Matzke_2014_Nature Reviews Genetics	01_Curated/Paper-Cards/2014-Matzke-RNA-directed-DNA-Methylation.review.md	01_Curated/Claim-Evidence/2014-Matzke-RNA-directed-DNA-Methylation.claims.tsv	01_Curated/Method-Summaries/method-summary.2014-Matzke-RNA-directed-DNA-Methylation.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Review article; claims marked review-level evidence. MinerU Fig. 1 flowchart extraction appears corrupted; figure/table anchor uncertain; needs manual PDF check.
2015-Song-Cotton-Ovule-Fiber-Methylation	Dynamic Roles for Small RNAs and DNA Methylation during Ovule and Fiber Development in Allotetraploid Cotton	2015	PLOS Genetics	10.1371/journal.pgen.1005724	mineru-parsed/Song_2015_PLOS Genetics	01_Curated/Paper-Cards/2015-Song-Cotton-Ovule-Fiber-Methylation.review.md	01_Curated/Claim-Evidence/2015-Song-Cotton-Ovule-Fiber-Methylation.claims.tsv	01_Curated/Method-Summaries/method-summary.2015-Song-Cotton-Ovule-Fiber-Methylation.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. 14 DPA ovule replicate details and selected DMR validation subset need manual PDF check; MinerU image/table subdirectories absent, figure/table anchor uncertain; needs manual PDF check.
2022-Sun-DRESH8-Maize-Drought-Yield	The role of transposon inverted repeats in balancing drought tolerance and yield-related traits in maize	2022	Nature Biotechnology	unknown	mineru-parsed/Sun_2023_Nature Biotechnology_2	01_Curated/Paper-Cards/2022-Sun-DRESH8-Maize-Drought-Yield.review.md	01_Curated/Claim-Evidence/2022-Sun-DRESH8-Maize-Drought-Yield.claims.tsv	01_Curated/Method-Summaries/method-summary.2022-Sun-DRESH8-Maize-Drought-Yield.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. DOI not confirmed in provided text. Supplementary parsed source mineru-parsed/Sun_2023_Nature Biotechnology appears to belong to the same paper and was used as supplementary basis; figure/table anchor uncertain; needs manual PDF check.
2022-Sun-DRESH8-Maize-Drought-Yield-supplement	The role of transposon inverted repeats in balancing drought tolerance and yield-related traits in maize - supplementary results	2022	Nature Biotechnology	unknown	mineru-parsed/Sun_2023_Nature Biotechnology	01_Curated/Paper-Cards/2022-Sun-DRESH8-Maize-Drought-Yield.review.md	01_Curated/Claim-Evidence/2022-Sun-DRESH8-Maize-Drought-Yield.claims.tsv	01_Curated/Method-Summaries/method-summary.2022-Sun-DRESH8-Maize-Drought-Yield.md	done	Supplementary parsed source for the same Sun paper; not curated as an independent paper to avoid duplicate claims. Linked to main paper_id 2022-Sun-DRESH8-Maize-Drought-Yield; needs manual PDF check.
2015-Wang-Rice-sRNA-QTL	Genetic basis of sRNA quantitative variation analyzed using an experimental population derived from an elite rice hybrid	2015	eLife	10.7554/eLife.03913	mineru-parsed/Wang_2015_eLife	01_Curated/Paper-Cards/2015-Wang-Rice-sRNA-QTL.review.md	01_Curated/Claim-Evidence/2015-Wang-Rice-sRNA-QTL.claims.tsv	01_Curated/Method-Summaries/method-summary.2015-Wang-Rice-sRNA-QTL.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Candidate biogenesis-gene interpretation lacks functional validation in provided text; figure/table anchor uncertain; needs manual PDF check.
2016-Wang-Cotton-Temperature-miRNAs	Small RNA-mediated responses to low- and high-temperature stresses in cotton	2016	Scientific Reports	10.1038/srep35558	mineru-parsed/Wang_2016_Scientific Reports	01_Curated/Paper-Cards/2016-Wang-Cotton-Temperature-miRNAs.review.md	01_Curated/Claim-Evidence/2016-Wang-Cotton-Temperature-miRNAs.claims.tsv	01_Curated/Method-Summaries/method-summary.2016-Wang-Cotton-Temperature-miRNAs.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Novel miRNAs and pathway functions need validation; figure/table anchor uncertain; needs manual PDF check.
2023-Zhan-Plant-Small-RNAs	Plant Small RNAs: Their Biogenesis, Regulatory Roles, and Functions	2023	Annual Review of Plant Biology	10.1146/annurev-arplant-070122-035226	mineru-parsed/Zhan_2023_Annual Review of Plant Biology	01_Curated/Paper-Cards/2023-Zhan-Plant-Small-RNAs.review.md	01_Curated/Claim-Evidence/2023-Zhan-Plant-Small-RNAs.claims.tsv	01_Curated/Method-Summaries/method-summary.2023-Zhan-Plant-Small-RNAs.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Review-level evidence; figure/table anchor uncertain; needs manual PDF check.
2025-Yang-Plant-sRNAs-Agriculture	Biogenesis, action, function of plant small RNAs and their potential application in agriculture	2025	遗传	unknown	mineru-parsed/杨怀昊_2025_遗传	01_Curated/Paper-Cards/2025-Yang-Plant-sRNAs-Agriculture.review.md	01_Curated/Claim-Evidence/2025-Yang-Plant-sRNAs-Agriculture.claims.tsv	01_Curated/Method-Summaries/method-summary.2025-Yang-Plant-sRNAs-Agriculture.md	done	Input directory 00_Inbox/mineru-parsed was not present; used existing mineru-parsed directory. Chinese MinerU text is encoding-corrupted; DOI unknown; review-level evidence; figure/table anchor uncertain; needs manual PDF check.
